,country,driver,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
0,Algeria,commodity,198,237,321,322,154,436,386,586,640,235,780,1273,434,1228,847,1116,5548,576,478,1643,2441,1129,12336
1,Angola,commodity,3,39,10,14,5,11,13,22,53,41,166,48,84,180,104,121,143,104,104,49,55,73,176
2,Argentina,commodity,70316,51365,143287,282986,223654,185611,272444,394678,198166,277096,342158,311325,214789,130293,112493,128920,118788,98204,78625,111380,117113,127780,133555
3,Australia,commodity,1941,2255,5493,2713,3939,2477,4366,2116,1486,2878,1356,4248,6040,9762,3463,2157,5994,3589,49941,16651,8074,1524,4985
4,Bahamas,commodity,287,498,155,333,1017,638,334,1368,490,187,551,291,1247,746,879,2279,2675,672,1236,2268,1362,452,1077
5,Bangladesh,commodity,63,66,45,47,121,78,6,47,79,35,80,99,219,435,577,802,869,595,791,666,525,444,516
6,Belize,commodity,512,1399,233,395,674,386,519,437,732,859,3248,2084,1510,3166,1926,4014,1654,1212,3340,5886,1353,1161,2338
7,Bolivia,commodity,70002,100312,81763,120922,139842,142083,121893,263247,144255,321346,197337,160927,110440,160290,126175,346435,357974,243594,712714,299985,399881,437907,578360
8,Bonaire Sint Eustatius and Saba,commodity,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
9,Brazil,commodity,1727056,2385285,2278349,2777824,2370223,1803780,1648482,1430831,1027686,1574538,1167394,1703703,1007568,1485294,1336874,3061131,2719452,1706011,1678911,2178216,1948439,2157962,1629101
